id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,artist,name,album,release,genre
6JtbW1EmCbWDJyxIVGf4hA,0.4,0.626,11,-4.822,0,0.0283,0.316,0.00333,0.364,0.429,83.927,audio_features,spotify:track:6JtbW1EmCbWDJyxIVGf4hA,https://api.spotify.com/v1/tracks/6JtbW1EmCbWDJyxIVGf4hA,https://api.spotify.com/v1/audio-analysis/6JtbW1EmCbWDJyxIVGf4hA,279107,4,Boogarins,Far and Safe,"Manchaca, Vol. 2 (A Compilation of Boogarins Memories, Dreams, Demos and Outtakes from Austin, TX)",2021-04-02,indie
4Vp3cFgCVck7WzXAWcoAaF,0.28,0.598,6,-10.106,0,0.0388,0.00603,0.122,0.797,0.221,93.91,audio_features,spotify:track:4Vp3cFgCVck7WzXAWcoAaF,https://api.spotify.com/v1/tracks/4Vp3cFgCVck7WzXAWcoAaF,https://api.spotify.com/v1/audio-analysis/4Vp3cFgCVck7WzXAWcoAaF,224500,4,Boogarins,Aquele Som,"Manchaca Vol. 1 (A Compilation Of Boogarins Memories Dreams Demos And Outtakes From Austin, Tx)",2020-08-28,indie
30gAIh98rpvhGDKbrR0yFe,0.312,0.754,8,-9.605,1,0.487,0.576,0.003,0.656,0.397,128.847,audio_features,spotify:track:30gAIh98rpvhGDKbrR0yFe,https://api.spotify.com/v1/tracks/30gAIh98rpvhGDKbrR0yFe,https://api.spotify.com/v1/audio-analysis/30gAIh98rpvhGDKbrR0yFe,157564,4,Boogarins,Água,"Manchaca Vol. 1 (A Compilation Of Boogarins Memories Dreams Demos And Outtakes From Austin, Tx)",2020-08-28,indie
47gHoABctRqwhLZK1X2KH4,0.608,0.802,9,-8.375,0,0.025,0.00371,0.875,0.192,0.739,100.049,audio_features,spotify:track:47gHoABctRqwhLZK1X2KH4,https://api.spotify.com/v1/tracks/47gHoABctRqwhLZK1X2KH4,https://api.spotify.com/v1/audio-analysis/47gHoABctRqwhLZK1X2KH4,228465,4,Boogarins,"Are You Crazy, Julian?","Manchaca Vol. 1 (A Compilation Of Boogarins Memories Dreams Demos And Outtakes From Austin, Tx)",2020-08-28,indie
6fMdg9UnEPSU0etVF8XvzO,0.513,0.75,1,-7.985,1,0.0399,0.196,0.000149,0.0787,0.613,159.966,audio_features,spotify:track:6fMdg9UnEPSU0etVF8XvzO,https://api.spotify.com/v1/tracks/6fMdg9UnEPSU0etVF8XvzO,https://api.spotify.com/v1/audio-analysis/6fMdg9UnEPSU0etVF8XvzO,175626,4,Boogarins,Inocência,"Manchaca Vol. 1 (A Compilation Of Boogarins Memories Dreams Demos And Outtakes From Austin, Tx)",2020-08-28,indie
0IqIGiEe36qfH5Wnq3kaeq,0.639,0.435,8,-9.502,1,0.0339,0.625,2.02e-05,0.182,0.243,133.966,audio_features,spotify:track:0IqIGiEe36qfH5Wnq3kaeq,https://api.spotify.com/v1/tracks/0IqIGiEe36qfH5Wnq3kaeq,https://api.spotify.com/v1/audio-analysis/0IqIGiEe36qfH5Wnq3kaeq,217780,3,Boogarins,João 3 Filhos,"Manchaca Vol. 1 (A Compilation Of Boogarins Memories Dreams Demos And Outtakes From Austin, Tx)",2020-08-28,indie
55aILkeOPhfX691RkvK21y,0.694,0.718,11,-8.242,0,0.132,0.0835,1.1e-05,0.344,0.607,156.111,audio_features,spotify:track:55aILkeOPhfX691RkvK21y,https://api.spotify.com/v1/tracks/55aILkeOPhfX691RkvK21y,https://api.spotify.com/v1/audio-analysis/55aILkeOPhfX691RkvK21y,143009,4,Boogarins,Cães do Odio,"Manchaca Vol. 1 (A Compilation Of Boogarins Memories Dreams Demos And Outtakes From Austin, Tx)",2020-08-28,indie
1FPEmm5V1smrOi7L4wwPwq,0.42,0.555,2,-7.919,1,0.0536,0.184,0.0013,0.0925,0.283,97.229,audio_features,spotify:track:1FPEmm5V1smrOi7L4wwPwq,https://api.spotify.com/v1/tracks/1FPEmm5V1smrOi7L4wwPwq,https://api.spotify.com/v1/audio-analysis/1FPEmm5V1smrOi7L4wwPwq,185562,4,Boogarins,Espera Fala de Novo,"Manchaca Vol. 1 (A Compilation Of Boogarins Memories Dreams Demos And Outtakes From Austin, Tx)",2020-08-28,indie
4eFkyWclir1QJWtpi1mDXK,0.374,0.503,1,-12.114,0,0.0384,0.527,0.764,0.0902,0.463,127.603,audio_features,spotify:track:4eFkyWclir1QJWtpi1mDXK,https://api.spotify.com/v1/tracks/4eFkyWclir1QJWtpi1mDXK,https://api.spotify.com/v1/audio-analysis/4eFkyWclir1QJWtpi1mDXK,328000,3,Boogarins,Sai de Cima - Live At Hotel Vegas,"Manchaca Vol. 1 (A Compilation Of Boogarins Memories Dreams Demos And Outtakes From Austin, Tx)",2020-08-28,indie
5KZVEsaPdBZlxwnUqlgMbt,0.622,0.548,9,-10.314,0,0.0402,0.738,4.02e-05,0.482,0.597,133.293,audio_features,spotify:track:5KZVEsaPdBZlxwnUqlgMbt,https://api.spotify.com/v1/tracks/5KZVEsaPdBZlxwnUqlgMbt,https://api.spotify.com/v1/audio-analysis/5KZVEsaPdBZlxwnUqlgMbt,159777,4,Boogarins,Tanta Coragem,"Manchaca Vol. 1 (A Compilation Of Boogarins Memories Dreams Demos And Outtakes From Austin, Tx)",2020-08-28,indie
