,PROADJ,N,ADJ,V,PCP,",",PREP,PROPESS,KC,ART,NPROP,PDEN,ADV,IN,?,id,genre,word_count,PRO-KS-REL,KS,PROSUB,PREP|+,N|EST,ADJ|EST,PRO-KS,VAUX,(,),V|+,NUM,ADV-KS-REL,KC|[,!,ADV-KS,:,VAUX|+,.,...,-,ART|EST,ADV|EST,N|AP,N|HOR,KC|],;,N|DAD,PREP|EST,N|TEL,$,/
0,0.0425531914893617,0.19148936170212766,0.10638297872340426,0.19148936170212766,0.02127659574468085,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.0425531914893617,0.06382978723404255,0.02127659574468085,0.02127659574468085,0.06382978723404255,0.02127659574468085,0.02127659574468085,5zwvCa9LuVB46IQwKODSW3,indie,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0392156862745098,0.19607843137254902,0.0,0.19607843137254902,0.0,0.0,0.058823529411764705,0.0392156862745098,0.058823529411764705,0.1568627450980392,0.0,0.0,0.1568627450980392,0.0,0.0,7gTAaRW4AqsArF1vDUFY03,indie,51,0.058823529411764705,0.0196078431372549,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.1095890410958904,0.2191780821917808,0.1506849315068493,0.136986301369863,0.0,0.0273972602739726,0.0273972602739726,0.0410958904109589,0.0273972602739726,0.0547945205479452,0.0136986301369863,0.0,0.136986301369863,0.0,0.0,4XLqe8UMsnlsaa2qguc5xW,indie,73,0.0,0.0273972602739726,0.0136986301369863,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.15384615384615385,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.0,0.0,0.0,0.0,3Tnaywzt8FACGnI0dBeeAv,indie,39,0.0,0.0,0.0,0.0,0.10256410256410256,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.022727272727272728,0.29545454545454547,0.045454545454545456,0.09090909090909091,0.0,0.06818181818181818,0.20454545454545456,0.022727272727272728,0.06818181818181818,0.045454545454545456,0.0,0.0,0.06818181818181818,0.0,0.0,3blzViOH3HZuRnCfVIYuPg,indie,44,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.10344827586206896,0.0,0.10344827586206896,0.034482758620689655,0.10344827586206896,0.0,0.0,0.0,0.13793103448275862,0.3448275862068966,0.0,0.0,0.0,0.0,4qFGs1kX71R8k8BsRM7R6x,indie,29,0.0,0.034482758620689655,0.034482758620689655,0.0,0.10344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.01282051282051282,0.08974358974358974,0.01282051282051282,0.24358974358974358,0.01282051282051282,0.07692307692307693,0.05128205128205128,0.15384615384615385,0.0641025641025641,0.0,0.0,0.038461538461538464,0.16666666666666666,0.0,0.0,1lXnq6rYbJM5VFJZKhL8R1,indie,78,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1DH3I6ug5nXxg8tLOPJIrm,indie,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.1095890410958904,0.2191780821917808,0.1506849315068493,0.136986301369863,0.0,0.0273972602739726,0.0273972602739726,0.0410958904109589,0.0273972602739726,0.0547945205479452,0.0136986301369863,0.0,0.136986301369863,0.0,0.0,0ywgBvDuSFSGTDLJvMPMas,indie,73,0.0,0.0273972602739726,0.0136986301369863,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0761904761904762,0.1523809523809524,0.01904761904761905,0.24761904761904763,0.01904761904761905,0.02857142857142857,0.0,0.17142857142857143,0.0,0.05714285714285714,0.02857142857142857,0.0,0.01904761904761905,0.0,0.0,3dqrwCSdxMUtTlXuP61KcP,indie,105,0.0761904761904762,0.009523809523809525,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
