,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,artist,name,album,release,genre,lyrics
10,7fqOlm0S9t6j8C1LYzCJH5,0.611,0.683,7,-4.868,1,0.0413,0.586,0.00165,0.353,0.537,115.845,audio_features,spotify:track:7fqOlm0S9t6j8C1LYzCJH5,https://api.spotify.com/v1/tracks/7fqOlm0S9t6j8C1LYzCJH5,https://api.spotify.com/v1/audio-analysis/7fqOlm0S9t6j8C1LYzCJH5,230320,4,Boogarins,Meto o Loco,"Manchaca, Vol. 2 (A Compilation of Boogarins Memories, Dreams, Demos and Outtakes from Austin, TX)",2021-04-02,indie,"['Meto o loco, meto o loco e vou atrás', 'Do que não posso ser', 'Mas isso, mas isso me satisfaz', 'E eu não consigo ver', 'É um vício, um vício que me traz paz', 'É torto mas é normal', 'Talvez a dor seja um sinal', 'Um outro de outro mesmo mal', 'Talvez dores, muitas dores', 'Ou nada que tem a ver comigo', 'Um grande nada, mesmo nada', 'Ou tudo além do seu umbigo']"
11,6JtbW1EmCbWDJyxIVGf4hA,0.4,0.626,11,-4.822,0,0.0283,0.316,0.00333,0.364,0.429,83.927,audio_features,spotify:track:6JtbW1EmCbWDJyxIVGf4hA,https://api.spotify.com/v1/tracks/6JtbW1EmCbWDJyxIVGf4hA,https://api.spotify.com/v1/audio-analysis/6JtbW1EmCbWDJyxIVGf4hA,279107,4,Boogarins,Far and Safe,"Manchaca, Vol. 2 (A Compilation of Boogarins Memories, Dreams, Demos and Outtakes from Austin, TX)",2021-04-02,indie,"['I want you far, unscathed', 'If black and white is your only way', 'I want you long and safe', 'Fear spread a far cry sensible', 'She got along away', 'As dark and light were her only taste', 'I want her long and safe', 'Safe in the margins she reduced', 'I want you long and well', 'Words spread a far cry sensible', 'I want you far and safe', 'Sense my desire-iridescent', 'Ran through the puddles, manic rain shined', 'Echoes of bubbles pop in my mind']"
12,4Vp3cFgCVck7WzXAWcoAaF,0.28,0.598,6,-10.106,0,0.0388,0.00603,0.122,0.797,0.221,93.91,audio_features,spotify:track:4Vp3cFgCVck7WzXAWcoAaF,https://api.spotify.com/v1/tracks/4Vp3cFgCVck7WzXAWcoAaF,https://api.spotify.com/v1/audio-analysis/4Vp3cFgCVck7WzXAWcoAaF,224500,4,Boogarins,Aquele Som,"Manchaca Vol. 1 (A Compilation Of Boogarins Memories Dreams Demos And Outtakes From Austin, Tx)",2020-08-28,indie,"['Você já é aquele som', 'Que é tudo com', 'Um pouco mais', 'Você já é aquele tom', 'Que eu sempre vou', 'Correr atrás', 'Me deixo cair', 'Temo a dor', 'Tenho sonhos', 'Só pra te ouvir', 'Ser a cor entre os poros', 'Você já é aquele som', 'Que é tudo com', 'Um pouco mais', 'Você já é aquele tom', 'Que eu sempre vou', 'Correr atrás', 'Você já é (que eu vou atrás)', 'Aquele Som']"
13,30gAIh98rpvhGDKbrR0yFe,0.312,0.754,8,-9.605,1,0.487,0.576,0.003,0.656,0.397,128.847,audio_features,spotify:track:30gAIh98rpvhGDKbrR0yFe,https://api.spotify.com/v1/tracks/30gAIh98rpvhGDKbrR0yFe,https://api.spotify.com/v1/audio-analysis/30gAIh98rpvhGDKbrR0yFe,157564,4,Boogarins,Água,"Manchaca Vol. 1 (A Compilation Of Boogarins Memories Dreams Demos And Outtakes From Austin, Tx)",2020-08-28,indie,"['Todos os mitos dos beatles', 'Se o Paul ainda fosse vivo', 'Com certeza ele iria entregar', 'Pois sempre tem um careta', 'Que não abre a cabeça', 'E solta merda ao invés de falar', 'O tempo passou e você quer ser alguém', 'Mas nada mudou e você não sabe quem', 'Não é para ser o mais louco', 'Mas apenas um pouco', 'Só o bastante para não chatear', 'Pois sempre tem um careta', 'Que não abre a cabeça', 'E me segura quando vou voar', 'O tempo passou e você que ser alguém', 'Mas nada mudou e você não sabe quem', 'O tempo passou e você quer ser alguém', 'Mas nada mudou e você não sabe quem']"
14,47gHoABctRqwhLZK1X2KH4,0.608,0.802,9,-8.375,0,0.025,0.00371,0.875,0.192,0.739,100.049,audio_features,spotify:track:47gHoABctRqwhLZK1X2KH4,https://api.spotify.com/v1/tracks/47gHoABctRqwhLZK1X2KH4,https://api.spotify.com/v1/audio-analysis/47gHoABctRqwhLZK1X2KH4,228465,4,Boogarins,"Are You Crazy, Julian?","Manchaca Vol. 1 (A Compilation Of Boogarins Memories Dreams Demos And Outtakes From Austin, Tx)",2020-08-28,indie,[]
15,6fMdg9UnEPSU0etVF8XvzO,0.513,0.75,1,-7.985,1,0.0399,0.196,0.000149,0.0787,0.613,159.966,audio_features,spotify:track:6fMdg9UnEPSU0etVF8XvzO,https://api.spotify.com/v1/tracks/6fMdg9UnEPSU0etVF8XvzO,https://api.spotify.com/v1/audio-analysis/6fMdg9UnEPSU0etVF8XvzO,175626,4,Boogarins,Inocência,"Manchaca Vol. 1 (A Compilation Of Boogarins Memories Dreams Demos And Outtakes From Austin, Tx)",2020-08-28,indie,"['Vai se puder, essa história não tem fim', 'Faz desse céu um escape mais gentil', 'Foi se\u2005esquentando\u2005entre as coxas\u2005que nasceu', 'Se derreteu no silêncio de\u2005outro corpo', 'Isso é coisa que se diga', 'Isso é coisa que\u205fse\u205ffaz', 'Vem\u205ffalar de inocência', 'Quem\u205fse diz inocente', 'Já\u205fnão sabe brincar', 'Isso é coisa que se diga', 'Isso é coisa que se faz', 'Vem falar de inocência', 'Quem se diz inocente', 'Já não sabe brincar', 'Isso é coisa que se diga', 'Isso é coisa que se faz', 'Se derreteu no silêncio de outro corpo', 'Faz desse céu um escape mais gentil']"
16,0IqIGiEe36qfH5Wnq3kaeq,0.639,0.435,8,-9.502,1,0.0339,0.625,2.02e-05,0.182,0.243,133.966,audio_features,spotify:track:0IqIGiEe36qfH5Wnq3kaeq,https://api.spotify.com/v1/tracks/0IqIGiEe36qfH5Wnq3kaeq,https://api.spotify.com/v1/audio-analysis/0IqIGiEe36qfH5Wnq3kaeq,217780,3,Boogarins,João 3 Filhos,"Manchaca Vol. 1 (A Compilation Of Boogarins Memories Dreams Demos And Outtakes From Austin, Tx)",2020-08-28,indie,"['Ainda ontem vieram me pegar', 'Mas não sou bobo e não caí', 'Eles falavam sobre morte azar', 'Entrar no corpo e não sair', 'Eles têm sangue nos olhos', 'Fuzilam os corpos só por prazer', 'Só cumprem o inverso das ordens', 'E a lei dos homens regem seu ser', 'Eles têm cheiro de morte', 'Sugam sua sorte sem ninguém ver', 'Os mais belos cães dos reis', 'Vida de beija-flor', 'É voar e ter pra dar amor', 'E sonhos que vem e vão', 'E me levam pela imensidão', 'Ainda ontem vieram me pegar', 'Mas não sou bobo e não cai', 'Eles falavam sobre morte azar', 'Entrar no corpo e não sair', 'Eles têm sangue nos olhos', 'Fuzilam os corpos só por prazer', 'Só cumprem o inverso das ordens', 'E a lei dos homens regem seu ser', 'Eles têm cheiro de morte', 'Sugam sua sorte sem ninguém ver', 'Os mais belos cães dos reis', 'Os mais belos cães dos reis', 'Os mais belos cães dos reis', 'Vida de beija-flor', 'É voar e ter pra dar amor', 'E sonhos que vem e vão', 'E me levam pela imensidão', 'Vida de beija-flor', 'É voar e ter pra dar amor', 'E sonhos que vem e vão', 'E me levam pela imensidão']"
17,55aILkeOPhfX691RkvK21y,0.694,0.718,11,-8.242,0,0.132,0.0835,1.1e-05,0.344,0.607,156.111,audio_features,spotify:track:55aILkeOPhfX691RkvK21y,https://api.spotify.com/v1/tracks/55aILkeOPhfX691RkvK21y,https://api.spotify.com/v1/audio-analysis/55aILkeOPhfX691RkvK21y,143009,4,Boogarins,Cães do Odio,"Manchaca Vol. 1 (A Compilation Of Boogarins Memories Dreams Demos And Outtakes From Austin, Tx)",2020-08-28,indie,"['Me lanço aos cães do ódio', 'Me lanço aos cães do ódio', 'Me lanço aos cães do ódio', 'Me lanço aos cães do ódio', 'Com toda essa angústia quê que cê faz?', 'Com toda essa angústia quê que cê faz?', 'Se o fundo te puxa o quê que cê faz?', 'Com toda essa angústia quê que cê faz?', 'Me lanço aos', 'Me lanço aos', 'Me lanço aos', 'Me lanço aos', 'Me lanço aos cães do ódio', 'Eu me lanço aos cães do ódio', 'Com loucura no rosto, sorriso no bolso', 'O resto é resto e eu sou mais', 'Me lanço aos cães do ódio', 'Me lanço aos cães do ódio', 'Com loucura no rosto, sorriso no bolso', 'O resto é resto e eu sou mais', 'Com toda essa angústia quê que cê faz?', 'Com toda essa angústia quê que cê faz?', 'Se o fundo te puxa o quê que cê faz?', 'Com toda essa angústia quê que cê faz?', 'Se o fundo te puxa o quê que cê faz?', 'Me lanço aos cães do ódio', 'Eu me lanço aos cães do ódio', 'Com loucura no rosto, sorriso no bolso', 'O resto é resto e eu sou mais', 'Me lanço aos cães do ódio', 'Eu me lanço aos cães do ódio', 'Com sorriso no bolso, loucura no rosto', 'O resto é resto e eu sou mais', 'Meu dedo em riste', 'Vaza, não fode', 'Tudo que é ordem eu quero quebrar', 'Meu dedo em riste', ""Pra quem é mole, não 'guenta corre"", 'Eu quero voar', 'Meu dedo em riste', 'Vaza, não fode', 'Tudo que é ordem eu quero quebrar', 'Meu dedo em riste', ""Pra quem é mole, não 'guenta corre"", 'Eu quero voar']"
18,1FPEmm5V1smrOi7L4wwPwq,0.42,0.555,2,-7.919,1,0.0536,0.184,0.0013,0.0925,0.283,97.229,audio_features,spotify:track:1FPEmm5V1smrOi7L4wwPwq,https://api.spotify.com/v1/tracks/1FPEmm5V1smrOi7L4wwPwq,https://api.spotify.com/v1/audio-analysis/1FPEmm5V1smrOi7L4wwPwq,185562,4,Boogarins,Espera Fala de Novo,"Manchaca Vol. 1 (A Compilation Of Boogarins Memories Dreams Demos And Outtakes From Austin, Tx)",2020-08-28,indie,"['Se puder me esperar', 'Eu tô bem atrás', 'Se quiser me esperar', 'Vou querer também', 'Eu nem sequer te ouvi', 'Eu nem sequer te ouvi', 'Eu nem sequer te ouvi', 'Eu nem sequer te ouvi', 'Se puder me esperar', 'Eu tô bem atrás', 'Se quiser me esperar', 'Vou querer também', 'Eu nem sequer te ouvi', 'Eu nem sequer te ouvi', 'Eu nem sequer te ouvi', 'Eu nem sequer te ouvi']"
19,4eFkyWclir1QJWtpi1mDXK,0.374,0.503,1,-12.114,0,0.0384,0.527,0.764,0.0902,0.463,127.603,audio_features,spotify:track:4eFkyWclir1QJWtpi1mDXK,https://api.spotify.com/v1/tracks/4eFkyWclir1QJWtpi1mDXK,https://api.spotify.com/v1/audio-analysis/4eFkyWclir1QJWtpi1mDXK,328000,3,Boogarins,Sai de Cima - Live At Hotel Vegas,"Manchaca Vol. 1 (A Compilation Of Boogarins Memories Dreams Demos And Outtakes From Austin, Tx)",2020-08-28,indie,"['Sai de cima de mim pra ver', 'O que eu faço', 'Sou os meus passos', 'Sou o que são', 'Cê um louco que não quer ver', 'O que eu faço', 'Sou meu espaço', 'Sou onde estão', 'Sai, sai, sai, sai', 'Sai de cima de mim pra ver', 'Sai de cima de mim pra ver', 'Sai de cima de mim pra ver', 'Sai de cima de mim pra ver', 'Sai, sai, sai, sai', 'Na cabeça, 16, só delirios ', 'E saudades com o que ele não fez', 'Na cabeça, 16, só delirios ', 'E saudades com o que ele não vê', 'Ah, ele não vai se encaixar', 'Ah, ele não vai se encaixar', 'Cabeça solta, a gente voa', 'Ele não vai se encaixar', 'Cabeça solta, a mente voa']"
